language_primary,estc_id,gatherings.original,width.original,height.original,obl.original,gatherings,width,height,obl,area,original,publication_year_from,publication_year_till,publication_year,publication_decade,publication_century,uncertain,circa,range,price,prices_found,Pound,Shilling,Pence,total_price,year,Commodity,Market,variety,currancy,volume,C.currancy,C.volume,value,notes,source,total_price_in_silver,freq,annual,is_periodical,short_title,work_id,publication_place,publication_country,false_imprint,org_260_a,org_260_a_square_brackets,org_752_a,org_752_b,org_752_d,longitude,latitude,geo_id,pagecount.multiplier,pagecount.squarebracket,pagecount.plate,pagecount.arabic,pagecount.roman,pagecount.sheet,pagecount,volnumber,volcount,parts,pagecount_from,pagecount.orig,singlevol,multivol,issue,document.items,paper,document_type
English,T174167,8vo,NA,NA,FALSE,8vo,13,19,0,247,1701.,1701,NA,1701,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,A New description of Spain,X-a new description of spain,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,2,0,146,0,0,148,NA,1,NA,original,148,TRUE,FALSE,FALSE,1,3173.26388888889,Book
Latin,T187984,4to,NA,NA,FALSE,4to,22,28,0,616,1719.,1719,NA,1719,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Disputatio juridica, ad tit. 22. lib. I. Inst. Quibus modis finitur tutela",111314-disputatio juridica ad tit 22 lib i inst quibus modis finitur tutela quam,Edinburgh,Scotland,FALSE,Edinburgi :,FALSE,Great Britain,Scotland,Edinburgh.,-3.2,55.95,<http://vocab.getty.edu/tgn/7009546>,1,5,0,7,0,0,12,NA,1,NA,original,12,TRUE,FALSE,FALSE,1,641.666666666667,Pamphlet
English,N46892,8vo,NA,NA,FALSE,8vo,13,19,0,247,1717.,1717,NA,1717,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Three sermons preach'd on three particular subjects,55030-three sermons preachd on three particular subjects viz,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,2,0,46,0,0,48,NA,1,NA,original,48,TRUE,FALSE,FALSE,1,1029.16666666667,In-between
English,T142970,1to,NA,NA,FALSE,2fo,30,45,0,1350,1717],1717,NA,1717,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"The pedigree of Catharine Knyvet, wife of Richard Bokenham of Weston-Mercate in the county of Suffolk, ... and lineal heir to Sir John Bourchier, ... the first Lord Berners",155834-pedigree of catharine knyvet wife of richard bokenham of weston-mercate in county of suffolk and lineal heir to sir john bourchier first lord berners,London,England,FALSE,"[London?,",TRUE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,2,2,NA,1,NA,original,2,TRUE,FALSE,FALSE,1,234.375,Pamphlet
English,T58530,12mo,NA,NA,FALSE,12mo,12.5,19,0,237.5,1708.,1708,NA,1708,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,The heavenly foot-man,298-heavenly footman,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,29,0,127,0,0,156,NA,1,NA,original,156,TRUE,FALSE,FALSE,1,3216.14583333333,Book
English,T231861,2fo,NA,NA,FALSE,2fo,30,45,0,1350,1717],1717,NA,1717,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Memorial for Mr. William Oliphant minister of the Gospel at Tannadice,187253-memorial for mr william oliphant minister of gospel at tannadice,Edinburgh,Scotland,FALSE,[Edinburgh :,TRUE,Great Britain,Scotland,Edinburgh.,-3.2,55.95,<http://vocab.getty.edu/tgn/7009546>,1,0,0,0,0,2,2,NA,1,NA,original,2,TRUE,FALSE,FALSE,1,234.375,Pamphlet
English,T132583,8vo,NA,NA,FALSE,8vo,13,19,0,247,1707.,1707,NA,1707,1700,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Pharmacopœia Londinensis: or, The new London dispensatory",123-pharmacopoia londinensis,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,19,2,896,0,0,917,NA,1,NA,original,917,TRUE,FALSE,FALSE,1,19661.3715277778,Book
English,T200746,8vo,NA,NA,FALSE,8vo,13,19,0,247,1715],1715,NA,1715,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"A list of the lords spiritual and temporal, with the [k]nights of shires, citizens and burgesses, [c]hosen to serve in the Parliament of Great-[B]ritain. Summoned to meet at Westminster; [o]n the 17th of March, 1715. as now they [a]nd returned",5158-lists 1715-03-17,Edinburgh,Scotland,FALSE,[Edinburgh :,TRUE,Great Britain,Scotland,Edinburgh.,-3.2,55.95,<http://vocab.getty.edu/tgn/7009546>,1,0,0,0,0,20,20,NA,1,NA,original,20,TRUE,FALSE,FALSE,1,428.819444444444,Pamphlet
English,T173684,8vo,NA,NA,FALSE,8vo,13,19,0,247,MDCCX. [1710],1710,1710,1710,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"A sermon preach'd to the societies for reformation of manners, at St. Mary-le-Bow",45999-a sermon preachd to societies for reformation of manners at st mary-le-bow on monday december 26th 1709,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,0,0,0,0,24,24,NA,1,NA,original,24,TRUE,FALSE,FALSE,1,514.583333333333,Pamphlet
English,T134471,12mo,NA,NA,FALSE,12mo,12.5,19,0,237.5,MDCCX. [1710],1710,1710,1710,1710,1700,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,The Lucubrations of Isaac Bickerstaff Esq; revised and corrected by the Author. Vol. II,174-lucubrations of isaac bickerstaff,London,England,FALSE,London :,FALSE,Great Britain,England,London.,-0.093145,51.514248,<http://vocab.getty.edu/tgn/7011781>,1,13,0,388,7,0,408,NA,1,NA,original,408,TRUE,FALSE,FALSE,1,8411.45833333333,Book
